epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,7723.3631921348315,0.6004984881966191,0.3163155634745575,1.1153377313119865,1.0616074836365288,1.0121400987530151,1.0393837988955825,0.8093599123446077,0.7540664885033713,0.4057683608735013,1.1598348493768726,2.309769e-05,2.309769e-05,2.309769e-05
100,7801.320213483146,0.5884885184326866,0.30998925220506635,1.0930309766857467,1.0722235584728939,1.0222614997405453,1.0497776368845382,0.8174535114680537,0.7389851587333038,0.39765299365603124,1.1366381523893352,2.309769e-05,2.309769e-05,2.309769e-05
101,7879.277234831461,0.5767187480640329,0.303789467160965,1.0711703571520317,1.082945794057623,1.0324841147379509,1.0602754132533838,0.8256280465827344,0.7242054555586377,0.38969993378291057,1.1139053893415485,2.309769e-05,2.309769e-05,2.309769e-05
102,7957.234256179775,0.5651843731027523,0.2977136778177457,1.049746950008991,1.0937752519981991,1.0428089558853302,1.0708781673859176,0.8338843270485615,0.709721346447465,0.3819059351072524,1.0916272815547174,2.309769e-05,2.309769e-05,2.309769e-05
103,8035.19127752809,0.5538806856406973,0.29175940426139085,1.0287520110088113,1.1047130045181812,1.0532370454441835,1.0815869490597767,0.8422231703190471,0.6955269195185158,0.37426781640510737,1.0697947359236233,2.309769e-05,2.309769e-05,2.309769e-05
104,8113.148298876405,0.5428030719278832,0.285924216176163,1.0081769707886352,1.115760134563363,1.0637694158986253,1.0924028185503745,0.8506454020222376,0.6816163811281454,0.3667824600770052,1.0483988412051508,2.309769e-05,2.309769e-05,2.309769e-05
105,8191.105320224719,0.5319470104893256,0.28020573185263975,0.9880134313728623,1.1269177359089966,1.0744071100576116,1.1033268467358783,0.85915185604246,0.6679840535055825,0.3594468108754651,1.0274308643810477,2.309769e-05,2.309769e-05,2.309769e-05
106,8269.062341573033,0.5213080702795391,0.27460161721558696,0.9682531627454052,1.1381869132680866,1.0851511811581875,1.114360115203237,0.8677433746028846,0.6546243724354709,0.3522578746579558,1.0068822470934267,2.309769e-05,2.309769e-05,2.309769e-05
107,8347.019362921348,0.5108819088739482,0.2691095848712752,0.9488880994904969,1.1495687824007674,1.0960026929697695,1.1255037163552695,0.8764208083489134,0.6415318849867614,0.3452127171647966,0.986744602151558,2.309769e-05,2.309769e-05,2.309769e-05
108,8424.976384269663,0.5006642706964692,0.26372739317384963,0.9299103375006869,1.1610644702247752,1.1069627198994674,1.1367587535188222,0.8851850164324027,0.628701247287026,0.3383084628215007,0.9670097101085269,2.309769e-05,2.309769e-05,2.309769e-05
109,8502.933405617978,0.49065098528253986,0.25845284531037266,0.9113121307506732,1.172675114927023,1.1180323470984619,1.1481263410540103,0.8940368665967267,0.6161272223412856,0.33154229356507064,0.9476695159063563,2.309769e-05,2.309769e-05,2.309769e-05
110,8580.890426966293,0.48083796557688907,0.2532837884041652,0.8930858881356597,1.1844018660762932,1.1292126705694467,1.1596076044645505,0.902977235262694,0.6038046778944598,0.3249114476937693,0.9287161255882291,2.309769e-05,2.309769e-05,2.309769e-05
111,8658.847448314607,0.47122120626535124,0.24821811263608187,0.8752241703729464,1.196245884737056,1.140504797275141,1.1712036805091959,0.9120070076153208,0.5917285843365706,0.31841321873989387,0.9101418030764645,2.309769e-05,2.309769e-05,2.309769e-05
112,8736.804469662922,0.4617967821400442,0.24325375038336025,0.8577196869654875,1.2082083435844266,1.1519098452478924,1.182915717314288,0.9211270776914742,0.5798940126498392,0.312044954365096,0.8919389670149352,2.309769e-05,2.309769e-05,2.309769e-05
113,8814.761491011235,0.4525608464972434,0.23838867537569305,0.8405652932261778,1.220290427020271,1.1634289437003715,1.1947448744874307,0.9303383484683889,0.5682961323968425,0.3058040552777941,0.8741001876746366,2.309769e-05,2.309769e-05,2.309769e-05
114,8892.71851235955,0.44350962956729845,0.23362090186817916,0.8237539873616542,1.2324933312904738,1.1750632331373752,1.2066923232323052,0.9396417319530729,0.5569302097489055,0.29968797417223814,0.8566181839211437,2.309769e-05,2.309769e-05,2.309769e-05
115,8970.675533707865,0.43463943697595253,0.2289484838308156,0.8072789076144211,1.2448182646033783,1.186813865468749,1.2187592464646282,0.9490381492726035,0.5457916055539275,0.2936942146887934,0.839485820242721,2.309769e-05,2.309769e-05,2.309769e-05
116,9048.63255505618,0.4259466482364334,0.22436951415419926,0.7911333294621326,1.2572664472494122,1.1986820041234363,1.2309468389292744,0.9585285307653295,0.5348757734428489,0.2878203303950175,0.8226961038378664,2.309769e-05,2.309769e-05,2.309769e-05
117,9126.589576404494,0.41742771527170475,0.21988212387111528,0.77531066287289,1.2698391117219063,1.2106688241646708,1.2432563073185672,0.9681138160729829,0.5241782579739919,0.28206392378711714,0.8062421817611091,2.309769e-05,2.309769e-05,2.309769e-05
118,9204.54659775281,0.40907916096627067,0.21548448139369297,0.7598044496154321,1.2825375028391255,1.2227755124063175,1.255688870391753,0.9777949542337128,0.5136946928145121,0.27642264531137484,0.7901173381258869,2.309769e-05,2.309769e-05,2.309769e-05
119,9282.503619101124,0.40089757774694523,0.21117479176581913,0.7446083606231236,1.2953628778675168,1.2350032675303808,1.2682457590956706,0.9875729037760499,0.5034207989582218,0.27089419240514734,0.7743149913633692,2.309769e-05,2.309769e-05,2.309769e-05
120,9360.460640449439,0.39287962619200634,0.20695129593050274,0.7297161934106611,1.308316506646192,1.2473533002056847,1.2809282166866274,0.9974486328138105,0.49335238297905737,0.2654763085570444,0.7588286915361019,2.309769e-05,2.309769e-05,2.309769e-05
121,9438.417661797754,0.3850220336681662,0.20281227001189267,0.7151218695424478,1.3213996717126537,1.2598268332077414,1.2937374988534933,1.0074231191419483,0.4834853353194762,0.2601667823859035,0.7436521177053798,2.309769e-05,2.309769e-05,2.309769e-05
122,9516.374683146067,0.3773215929948029,0.1987560246116548,0.7008194321515989,1.3346136684297802,1.2724251015398187,1.3066748738420284,1.017497350333368,0.4738156286130867,0.25496344673818544,0.7287790753512722,2.309769e-05,2.309769e-05,2.309769e-05
123,9594.331704494383,0.3697751611349068,0.19478090411942173,0.6868030435085669,1.3479598051140782,1.2851493525552171,1.3197416225804488,1.0276723238367016,0.46433931604082496,0.2498641778034217,0.7142034938442468,2.309769e-05,2.309769e-05,2.309769e-05
124,9672.288725842696,0.3623796579122087,0.19088528603703328,0.6730669826383956,1.361439403165219,1.2980008460807693,1.3329390388062532,1.0379490470750687,0.4550525297200085,0.24486689424735328,0.6999194239673618,2.309769e-05,2.309769e-05,2.309769e-05
125,9750.245747191011,0.35513206475396447,0.18706758031629261,0.6596056429856276,1.3750537971968713,1.310980854541577,1.3462684291943159,1.0483285375458196,0.4459514791256083,0.2399695563624062,0.6859210354880145,2.309769e-05,2.309769e-05,2.309769e-05
126,9828.202768539326,0.3480294234588852,0.18332622870996676,0.6464135301259151,1.38880433516884,1.3240906630869929,1.359731113486259,1.0588118229212777,0.4370324495430961,0.23517016523515807,0.6722026147782543,2.309769e-05,2.309769e-05,2.309769e-05
127,9906.15978988764,0.34106883498970747,0.17965970413576743,0.6334852595233967,1.4026923785205283,1.3373315697178627,1.3733284246211217,1.0693999411504904,0.42829180055223415,0.2304667619304549,0.6587585624826892,2.309769e-05,2.309769e-05,2.309769e-05
128,9984.116811235956,0.3342474582899133,0.17606651005305204,0.6208155543329288,1.4167193023057338,1.3507048854150414,1.387061708867333,1.0800939405619954,0.41972596454118943,0.22585742669184578,0.6455833912330353,2.309769e-05,2.309769e-05,2.309769e-05
129,10062.07383258427,0.32756250912411505,0.172545179851991,0.6083992432462701,1.430886495328791,1.3642119342691916,1.4009323259560063,1.0908948799676152,0.41133144525036563,0.22134027815800886,0.6326717234083745,2.309769e-05,2.309769e-05,2.309769e-05
130,10140.030853932585,0.32101125894163274,0.1690942762549512,0.5962312583813448,1.4451953602820788,1.3778540536118835,1.4149416492155662,1.1018038287672913,0.40310481634535833,0.2169134725948487,0.620018288940207,2.309769e-05,2.309769e-05,2.309769e-05
